cat,cat_lab,count,percentage,measure,n_responses,school_lab,year_group_lab,gender_lab,fsm_lab,measure_lab
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_friends,NULL,School A,Year 7,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_choice,NULL,School A,Year 7,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_things,NULL,School A,Year 7,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_health,NULL,School A,Year 7,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_future,NULL,School A,Year 7,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_school,NULL,School A,Year 7,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_free,NULL,School A,Year 7,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_life,NULL,School A,Year 7,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 2, 3, 3]","[27.27272727272727, 18.181818181818183, 27.27272727272727, 27.27272727272727]",symbol_family,11.0,School A,Year 8,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 5, 2, 0]","[36.36363636363637, 45.45454545454545, 18.181818181818183, 0.0]",symbol_home,11.0,School A,Year 8,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[2, 3, 5, 1]","[18.181818181818183, 27.27272727272727, 45.45454545454545, 9.090909090909092]",symbol_friends,11.0,School A,Year 8,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 1, 6, 1]","[27.27272727272727, 9.090909090909092, 54.54545454545454, 9.090909090909092]",symbol_choice,11.0,School A,Year 8,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[2, 3, 4, 2]","[18.181818181818183, 27.27272727272727, 36.36363636363637, 18.181818181818183]",symbol_things,11.0,School A,Year 8,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 7, 0, 0]","[36.36363636363637, 63.63636363636363, 0.0, 0.0]",symbol_health,11.0,School A,Year 8,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 6, 2, 0]","[27.27272727272727, 54.54545454545454, 18.181818181818183, 0.0]",symbol_future,11.0,School A,Year 8,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[1, 5, 2, 3]","[9.090909090909092, 45.45454545454545, 18.181818181818183, 27.27272727272727]",symbol_school,11.0,School A,Year 8,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[1, 5, 4, 1]","[9.090909090909092, 45.45454545454545, 36.36363636363637, 9.090909090909092]",symbol_free,11.0,School A,Year 8,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 2, 5, 0]","[36.36363636363637, 18.181818181818183, 45.45454545454545, 0.0]",symbol_life,11.0,School A,Year 8,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_family,NULL,School A,Year 9,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_home,NULL,School A,Year 9,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_friends,NULL,School A,Year 9,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_choice,NULL,School A,Year 9,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_things,NULL,School A,Year 9,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_health,NULL,School A,Year 9,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_future,NULL,School A,Year 9,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_school,NULL,School A,Year 9,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_free,NULL,School A,Year 9,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_life,NULL,School A,Year 9,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_family,NULL,School A,Year 10,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_home,NULL,School A,Year 10,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_friends,NULL,School A,Year 10,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_choice,NULL,School A,Year 10,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_things,NULL,School A,Year 10,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_health,NULL,School A,Year 10,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_future,NULL,School A,Year 10,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_school,NULL,School A,Year 10,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_free,NULL,School A,Year 10,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_life,NULL,School A,Year 10,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_family,NULL,School A,Year 11,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_home,NULL,School A,Year 11,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_friends,NULL,School A,Year 11,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_choice,NULL,School A,Year 11,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_things,NULL,School A,Year 11,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_health,NULL,School A,Year 11,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_future,NULL,School A,Year 11,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_school,NULL,School A,Year 11,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_free,NULL,School A,Year 11,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_life,NULL,School A,Year 11,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_family,NULL,School A,All,Girl,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_home,NULL,School A,All,Girl,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_friends,NULL,School A,All,Girl,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_choice,NULL,School A,All,Girl,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_things,NULL,School A,All,Girl,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_health,NULL,School A,All,Girl,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_future,NULL,School A,All,Girl,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_school,NULL,School A,All,Girl,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_free,NULL,School A,All,Girl,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_life,NULL,School A,All,Girl,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_family,NULL,School A,All,Boy,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_home,NULL,School A,All,Boy,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_friends,NULL,School A,All,Boy,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_choice,NULL,School A,All,Boy,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_things,NULL,School A,All,Boy,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_health,NULL,School A,All,Boy,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_future,NULL,School A,All,Boy,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_school,NULL,School A,All,Boy,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_free,NULL,School A,All,Boy,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_life,NULL,School A,All,Boy,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 2, 7, 4]","[23.52941176470588, 11.76470588235294, 41.17647058823529, 23.52941176470588]",symbol_family,17.0,School A,All,All,FSM,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 8, 5, 0]","[23.52941176470588, 47.05882352941176, 29.411764705882355, 0.0]",symbol_home,17.0,School A,All,All,FSM,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[1, 7, 8, 1]","[5.88235294117647, 41.17647058823529, 47.05882352941176, 5.88235294117647]",symbol_friends,17.0,School A,All,All,FSM,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[5, 3, 7, 2]","[29.411764705882355, 17.647058823529413, 41.17647058823529, 11.76470588235294]",symbol_choice,17.0,School A,All,All,FSM,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 6, 5, 3]","[17.647058823529413, 35.294117647058826, 29.411764705882355, 17.647058823529413]",symbol_things,17.0,School A,All,All,FSM,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[7, 7, 3, 0]","[41.17647058823529, 41.17647058823529, 17.647058823529413, 0.0]",symbol_health,17.0,School A,All,All,FSM,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 10, 2, 1]","[23.52941176470588, 58.82352941176471, 11.76470588235294, 5.88235294117647]",symbol_future,17.0,School A,All,All,FSM,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[5, 6, 3, 3]","[29.411764705882355, 35.294117647058826, 17.647058823529413, 17.647058823529413]",symbol_school,17.0,School A,All,All,FSM,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[5, 6, 5, 1]","[29.411764705882355, 35.294117647058826, 29.411764705882355, 5.88235294117647]",symbol_free,17.0,School A,All,All,FSM,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 5, 7, 1]","[23.52941176470588, 29.411764705882355, 41.17647058823529, 5.88235294117647]",symbol_life,17.0,School A,All,All,FSM,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[5, 1, 6, 1]","[38.46153846153847, 7.6923076923076925, 46.15384615384615, 7.6923076923076925]",symbol_family,13.0,School A,All,All,Non-FSM,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[5, 5, 3, 0]","[38.46153846153847, 38.46153846153847, 23.076923076923077, 0.0]",symbol_home,13.0,School A,All,All,Non-FSM,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[5, 3, 3, 2]","[38.46153846153847, 23.076923076923077, 23.076923076923077, 15.384615384615385]",symbol_friends,13.0,School A,All,All,Non-FSM,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 2, 7, 0]","[30.76923076923077, 15.384615384615385, 53.84615384615385, 0.0]",symbol_choice,13.0,School A,All,All,Non-FSM,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 4, 1, 4]","[30.76923076923077, 30.76923076923077, 7.6923076923076925, 30.76923076923077]",symbol_things,13.0,School A,All,All,Non-FSM,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 4, 5, 0]","[30.76923076923077, 30.76923076923077, 38.46153846153847, 0.0]",symbol_health,13.0,School A,All,All,Non-FSM,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[2, 8, 3, 0]","[15.384615384615385, 61.53846153846154, 23.076923076923077, 0.0]",symbol_future,13.0,School A,All,All,Non-FSM,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[0, 2, 8, 3]","[0.0, 15.384615384615385, 61.53846153846154, 23.076923076923077]",symbol_school,13.0,School A,All,All,Non-FSM,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 5, 1, 3]","[30.76923076923077, 38.46153846153847, 7.6923076923076925, 23.076923076923077]",symbol_free,13.0,School A,All,All,Non-FSM,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[5, 5, 2, 1]","[38.46153846153847, 38.46153846153847, 15.384615384615385, 7.6923076923076925]",symbol_life,13.0,School A,All,All,Non-FSM,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[8, 14, 4, 4]","[26.666666666666668, 46.666666666666664, 13.333333333333334, 13.333333333333334]",symbol_family,30.0,School B,All,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[8, 18, 4, 0]","[26.666666666666668, 60.0, 13.333333333333334, 0.0]",symbol_home,30.0,School B,All,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[10, 10, 7, 3]","[33.33333333333333, 33.33333333333333, 23.333333333333332, 10.0]",symbol_friends,30.0,School B,All,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[6, 9, 10, 5]","[20.0, 30.0, 33.33333333333333, 16.666666666666664]",symbol_choice,30.0,School B,All,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[8, 14, 6, 2]","[26.666666666666668, 46.666666666666664, 20.0, 6.666666666666667]",symbol_things,30.0,School B,All,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[10, 12, 8, 0]","[33.33333333333333, 40.0, 26.666666666666668, 0.0]",symbol_health,30.0,School B,All,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[11, 8, 9, 2]","[36.666666666666664, 26.666666666666668, 30.0, 6.666666666666667]",symbol_future,30.0,School B,All,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[9, 9, 11, 1]","[30.0, 30.0, 36.666666666666664, 3.3333333333333335]",symbol_school,30.0,School B,All,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[7, 9, 11, 3]","[23.333333333333332, 30.0, 36.666666666666664, 10.0]",symbol_free,30.0,School B,All,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[7, 12, 9, 2]","[23.333333333333332, 40.0, 30.0, 6.666666666666667]",symbol_life,30.0,School B,All,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_family,NULL,School B,Year 7,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_home,NULL,School B,Year 7,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_friends,NULL,School B,Year 7,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_choice,NULL,School B,Year 7,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_things,NULL,School B,Year 7,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_health,NULL,School B,Year 7,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_future,NULL,School B,Year 7,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_school,NULL,School B,Year 7,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_free,NULL,School B,Year 7,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_life,NULL,School B,Year 7,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_family,NULL,School B,Year 8,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_home,NULL,School B,Year 8,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_friends,NULL,School B,Year 8,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_choice,NULL,School B,Year 8,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_things,NULL,School B,Year 8,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_health,NULL,School B,Year 8,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_future,NULL,School B,Year 8,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_school,NULL,School B,Year 8,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_free,NULL,School B,Year 8,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_life,NULL,School B,Year 8,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 4, 2, 1]","[36.36363636363637, 36.36363636363637, 18.181818181818183, 9.090909090909092]",symbol_family,11.0,School B,Year 9,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 7, 1, 0]","[27.27272727272727, 63.63636363636363, 9.090909090909092, 0.0]",symbol_home,11.0,School B,Year 9,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 4, 3, 0]","[36.36363636363637, 36.36363636363637, 27.27272727272727, 0.0]",symbol_friends,11.0,School B,Year 9,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 2, 3, 3]","[27.27272727272727, 18.181818181818183, 27.27272727272727, 27.27272727272727]",symbol_choice,11.0,School B,Year 9,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 4, 2, 1]","[36.36363636363637, 36.36363636363637, 18.181818181818183, 9.090909090909092]",symbol_things,11.0,School B,Year 9,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[1, 3, 7, 0]","[9.090909090909092, 27.27272727272727, 63.63636363636363, 0.0]",symbol_health,11.0,School B,Year 9,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[3, 4, 4, 0]","[27.27272727272727, 36.36363636363637, 36.36363636363637, 0.0]",symbol_future,11.0,School B,Year 9,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[4, 2, 5, 0]","[36.36363636363637, 18.181818181818183, 45.45454545454545, 0.0]",symbol_school,11.0,School B,Year 9,All,All,How do you feel about your school?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[2, 2, 7, 0]","[18.181818181818183, 18.181818181818183, 63.63636363636363, 0.0]",symbol_free,11.0,School B,Year 9,All,All,How do you feel about your free time?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']","[2, 6, 3, 0]","[18.181818181818183, 54.54545454545454, 27.27272727272727, 0.0]",symbol_life,11.0,School B,Year 9,All,All,How do you feel about your life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_family,NULL,School B,Year 10,All,All,How do you feel about your family?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_home,NULL,School B,Year 10,All,All,How do you feel about your home?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_friends,NULL,School B,Year 10,All,All,How do you feel about your friends?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_choice,NULL,School B,Year 10,All,All,How do you feel about how much choice you have in life?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_things,NULL,School B,Year 10,All,All,How do you feel about the things that you have?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_health,NULL,School B,Year 10,All,All,How do you feel about your health?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_future,NULL,School B,Year 10,All,All,How do you feel about your future?
"[1, 2, 3, nan]","['Happy', 'Ok', 'Sad', 'No response']",NULL,NULL,symbol_school,NULL,School B,Year 10,All,All,How do you feel about your school?
